id_transacao,data,funcionario,cargo,descricao,valor,categoria,departamento,amount,date,beneficiary
TX_1012,2008-04-01,Dwight Schrute,Vendedor,Estacionamento Central - Despesa de Transporte Local,39.98,Transporte Local,Vendas,39.98,2008-04-01,unknown
TX_1013,2008-04-01,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,134.25,Refeição com Cliente,Vendas,134.25,2008-04-01,unknown
TX_1014,2008-04-01,Toby Flenderson,RH,Vending Machine - Despesa de Diversos,12.9,Diversos,Recursos Humanos,12.9,2008-04-01,unknown
TX_1015,2008-04-01,Andy Bernard,Vendedor,Dunkin Donuts - Despesa de Refeição,128.43,Refeição,Vendas,128.43,2008-04-01,unknown
TX_1016,2008-04-01,Stanley Hudson,Vendedor,Chili's - Despesa de Refeição com Cliente,152.59,Refeição com Cliente,Vendas,152.59,2008-04-01,unknown
TX_1017,2008-04-01,Angela Martin,Contadora,FedEx - Despesa de Correios,19.64,Correios,Contabilidade,19.64,2008-04-01,unknown
TX_1018,2008-04-01,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,14.52,Correios,Administrativo,14.52,2008-04-01,unknown
TX_1019,2008-04-01,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,78.62,Manutenção,Contabilidade,78.62,2008-04-01,unknown
TX_1020,2008-04-01,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,81.94,Refeição,Vendas,81.94,2008-04-01,unknown
TX_1021,2008-04-01,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,13.78,Copa e Cozinha,Administrativo,13.78,2008-04-01,unknown
TX_1022,2008-04-01,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,47.78,Logística,Contabilidade,47.78,2008-04-01,unknown
TX_1023,2008-04-01,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,84.45,Transporte Local,Vendas,84.45,2008-04-01,unknown
TX_1024,2008-04-01,Kelly Kapoor,Atendimento,Manutenção de Copiadora - Despesa de Manutenção,10.24,Manutenção,Atendimento ao Cliente,10.24,2008-04-01,unknown
TX_1025,2008-04-01,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,175.62,Refeição com Cliente,Vendas,175.62,2008-04-01,unknown
TX_1026,2008-04-01,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,30.77,Correios,Atendimento ao Cliente,30.77,2008-04-01,unknown
TX_1027,2008-04-01,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,58.06,Manutenção,Contabilidade,58.06,2008-04-01,unknown
TX_1028,2008-04-01,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,155.18,Refeição,Vendas,155.18,2008-04-01,unknown
TX_1029,2008-04-01,Stanley Hudson,Vendedor,Chili's - Despesa de Refeição com Cliente,42.24,Refeição com Cliente,Vendas,42.24,2008-04-01,unknown
TX_1030,2008-04-01,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,16.6,Logística,Depósito,16.6,2008-04-01,unknown
TX_1031,2008-04-01,Toby Flenderson,RH,Água Crystal - Despesa de Copa e Cozinha,39.17,Copa e Cozinha,Recursos Humanos,39.17,2008-04-01,unknown
TX_1032,2008-04-02,Dwight Schrute,Vendedor,Equipamento de Vigilância (Walkie Talkies),45.0,Segurança,Vendas,45.0,2008-04-02,unknown
TX_1033,2008-04-02,Michael Scott,Gerente Regional,Binóculos de Visão Noturna,180.0,Segurança,Gerência,180.0,2008-04-02,unknown
TX_1034,2008-04-02,Toby Flenderson,RH,FedEx - Despesa de Correios,19.98,Correios,Recursos Humanos,19.98,2008-04-02,unknown
TX_1035,2008-04-02,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,65.09,Refeição,Vendas,65.09,2008-04-02,unknown
TX_1036,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,76.54,Transporte Local,Gerência,76.54,2008-04-02,unknown
TX_1037,2008-04-02,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,11.01,Logística,Depósito,11.01,2008-04-02,unknown
TX_1038,2008-04-02,Creed Bratton,Qualidade,FedEx - Despesa de Correios,14.45,Correios,Qualidade,14.45,2008-04-02,unknown
TX_1039,2008-04-02,Angela Martin,Contadora,Água Crystal - Despesa de Copa e Cozinha,59.69,Copa e Cozinha,Contabilidade,59.69,2008-04-02,unknown
TX_1040,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,198.64,Transporte Local,Gerência,198.64,2008-04-02,unknown
TX_1041,2008-04-02,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,149.9,Material de Escritório,Vendas,149.9,2008-04-02,unknown
TX_1042,2008-04-02,Jim Halpert,Vendedor,Chili's - Despesa de Refeição com Cliente,94.11,Refeição com Cliente,Vendas,94.11,2008-04-02,unknown
TX_1043,2008-04-02,Andy Bernard,Vendedor,Cugino's - Despesa de Refeição com Cliente,131.5,Refeição com Cliente,Vendas,131.5,2008-04-02,unknown
TX_1044,2008-04-02,Darryl Philbin,Chefe de Depósito,Vending Machine - Despesa de Diversos,34.43,Diversos,Depósito,34.43,2008-04-02,unknown
TX_1045,2008-04-02,Toby Flenderson,RH,FedEx - Despesa de Correios,36.61,Correios,Recursos Humanos,36.61,2008-04-02,unknown
TX_1046,2008-04-02,Oscar Martinez,Contador,Manutenção de Copiadora - Despesa de Manutenção,75.99,Manutenção,Contabilidade,75.99,2008-04-02,unknown
TX_1047,2008-04-02,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,5.56,Copa e Cozinha,Qualidade,5.56,2008-04-02,unknown
TX_1048,2008-04-02,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,45.59,Logística,Contabilidade,45.59,2008-04-02,unknown
TX_1049,2008-04-02,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,103.49,Transporte Local,Gerência,103.49,2008-04-02,unknown
TX_1050,2008-04-02,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,176.52,Transporte Local,Vendas,176.52,2008-04-02,unknown
TX_1051,2008-04-02,Meredith Palmer,Rel. Fornecedores,Dunder Mifflin Warehouse - Despesa de Logística,15.87,Logística,Suprimentos,15.87,2008-04-02,unknown
TX_1052,2008-04-02,Kelly Kapoor,Atendimento,Água Crystal - Despesa de Copa e Cozinha,29.77,Copa e Cozinha,Atendimento ao Cliente,29.77,2008-04-02,unknown
TX_1053,2008-04-02,Andy Bernard,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,160.18,Refeição com Cliente,Vendas,160.18,2008-04-02,unknown
TX_1054,2008-04-02,Phyllis Vance,Vendedor,Estacionamento Central - Despesa de Transporte Local,146.72,Transporte Local,Vendas,146.72,2008-04-02,unknown
TX_1055,2008-04-02,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,27.8,Copa e Cozinha,Depósito,27.8,2008-04-02,unknown
TX_1056,2008-04-02,Darryl Philbin,Chefe de Depósito,Água Crystal - Despesa de Copa e Cozinha,11.49,Copa e Cozinha,Depósito,11.49,2008-04-02,unknown
TX_1057,2008-04-02,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,142.2,Refeição com Cliente,Vendas,142.2,2008-04-02,unknown
TX_1058,2008-04-02,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,15.4,Logística,Qualidade,15.4,2008-04-02,unknown
TX_1059,2008-04-03,Phyllis Vance,Vendedor,Dunkin Donuts - Despesa de Refeição,86.62,Refeição,Vendas,86.62,2008-04-03,unknown
TX_1060,2008-04-03,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,63.64,Refeição,Vendas,63.64,2008-04-03,unknown
TX_1061,2008-04-03,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,4.02,Logística,Recursos Humanos,4.02,2008-04-03,unknown
TX_1062,2008-04-03,Creed Bratton,Qualidade,Manutenção de Copiadora - Despesa de Manutenção,27.58,Manutenção,Qualidade,27.58,2008-04-03,unknown
TX_1063,2008-04-03,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,63.32,Copa e Cozinha,Administrativo,63.32,2008-04-03,unknown
TX_1064,2008-04-03,Kevin Malone,Contador,Staples - Despesa de Material de Escritório,27.34,Material de Escritório,Contabilidade,27.34,2008-04-03,unknown
TX_1065,2008-04-03,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,223.1,Viagem,Gerência,223.1,2008-04-03,unknown
TX_1066,2008-04-03,Stanley Hudson,Vendedor,Amtrak Train - Despesa de Viagem,92.91,Viagem,Vendas,92.91,2008-04-03,unknown
TX_1067,2008-04-03,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,6.39,Copa e Cozinha,Qualidade,6.39,2008-04-03,unknown
TX_1068,2008-04-03,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,214.45,Viagem,Gerência,214.45,2008-04-03,unknown
TX_1069,2008-04-03,Stanley Hudson,Vendedor,Estacionamento Central - Despesa de Transporte Local,53.08,Transporte Local,Vendas,53.08,2008-04-03,unknown
TX_1070,2008-04-03,Kelly Kapoor,Atendimento,Água Crystal - Despesa de Copa e Cozinha,9.66,Copa e Cozinha,Atendimento ao Cliente,9.66,2008-04-03,unknown
TX_1071,2008-04-03,Dwight Schrute,Vendedor,Best Western Hotel - Despesa de Viagem,18.74,Viagem,Vendas,18.74,2008-04-03,unknown
TX_1072,2008-04-03,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,10.84,Logística,Atendimento ao Cliente,10.84,2008-04-03,unknown
TX_1073,2008-04-03,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,87.78,Viagem,Gerência,87.78,2008-04-03,unknown
TX_1074,2008-04-03,Creed Bratton,Qualidade,Água Crystal - Despesa de Copa e Cozinha,6.89,Copa e Cozinha,Qualidade,6.89,2008-04-03,unknown
TX_1075,2008-04-03,Oscar Martinez,Contador,Staples - Despesa de Material de Escritório,64.09,Material de Escritório,Contabilidade,64.09,2008-04-03,unknown
TX_1076,2008-04-03,Michael Scott,Gerente Regional,Chili's - Despesa de Refeição com Cliente,168.91,Refeição com Cliente,Gerência,168.91,2008-04-03,unknown
TX_1077,2008-04-03,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,61.44,Logística,Contabilidade,61.44,2008-04-03,unknown
TX_1078,2008-04-03,Meredith Palmer,Rel. Fornecedores,Água Crystal - Despesa de Copa e Cozinha,5.37,Copa e Cozinha,Suprimentos,5.37,2008-04-03,unknown
TX_1079,2008-04-03,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,76.24,Correios,Administrativo,76.24,2008-04-03,unknown
TX_1080,2008-04-03,Pam Beesly,Recepcionista,Dunder Mifflin Warehouse - Despesa de Logística,61.6,Logística,Administrativo,61.6,2008-04-03,unknown
TX_1081,2008-04-03,Oscar Martinez,Contador,FedEx - Despesa de Correios,34.2,Correios,Contabilidade,34.2,2008-04-03,unknown
TX_1082,2008-04-03,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,34.07,Correios,Atendimento ao Cliente,34.07,2008-04-03,unknown
TX_1083,2008-04-03,Michael Scott,Gerente Regional,Dunkin Donuts - Despesa de Refeição,272.93,Refeição,Gerência,272.93,2008-04-03,unknown
TX_1084,2008-04-03,Angela Martin,Contadora,Staples - Despesa de Material de Escritório,46.74,Material de Escritório,Contabilidade,46.74,2008-04-03,unknown
TX_1085,2008-04-03,Stanley Hudson,Vendedor,Gasolina Shell - Despesa de Transporte Local,39.7,Transporte Local,Vendas,39.7,2008-04-03,unknown
TX_1086,2008-04-03,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,18.7,Logística,Atendimento ao Cliente,18.7,2008-04-03,unknown
TX_1087,2008-04-03,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,52.1,Manutenção,Administrativo,52.1,2008-04-03,unknown
TX_1088,2008-04-03,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,50.62,Logística,Contabilidade,50.62,2008-04-03,unknown
TX_1089,2008-04-03,Meredith Palmer,Rel. Fornecedores,Staples - Despesa de Material de Escritório,15.07,Material de Escritório,Suprimentos,15.07,2008-04-03,unknown
TX_1090,2008-04-03,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,62.54,Copa e Cozinha,Administrativo,62.54,2008-04-03,unknown
TX_1091,2008-04-03,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,35.1,Material de Escritório,Vendas,35.1,2008-04-03,unknown
TX_1092,2008-04-03,Phyllis Vance,Vendedor,Gasolina Shell - Despesa de Transporte Local,78.65,Transporte Local,Vendas,78.65,2008-04-03,unknown
TX_1093,2008-04-03,Darryl Philbin,Chefe de Depósito,Vending Machine - Despesa de Diversos,19.0,Diversos,Depósito,19.0,2008-04-03,unknown
TX_1094,2008-04-04,Kevin Malone,Contador,WCS Supplies - Consultoria de Cola,49.5,Manutenção,Contabilidade,49.5,2008-04-04,unknown
TX_1095,2008-04-04,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,18.54,Logística,Atendimento ao Cliente,18.54,2008-04-04,unknown
TX_1096,2008-04-04,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,38.03,Correios,Atendimento ao Cliente,38.03,2008-04-04,unknown
TX_1097,2008-04-04,Andy Bernard,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,70.7,Viagem,Vendas,70.7,2008-04-04,unknown
TX_1098,2008-04-04,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,262.49,Viagem,Gerência,262.49,2008-04-04,unknown
TX_1099,2008-04-04,Stanley Hudson,Vendedor,Papelaria Local - Despesa de Material de Escritório,114.01,Material de Escritório,Vendas,114.01,2008-04-04,unknown
TX_1100,2008-04-04,Oscar Martinez,Contador,FedEx - Despesa de Correios,52.51,Correios,Contabilidade,52.51,2008-04-04,unknown
TX_1101,2008-04-04,Andy Bernard,Vendedor,Chili's - Despesa de Refeição com Cliente,99.22,Refeição com Cliente,Vendas,99.22,2008-04-04,unknown
TX_1102,2008-04-04,Toby Flenderson,RH,Staples - Despesa de Material de Escritório,7.39,Material de Escritório,Recursos Humanos,7.39,2008-04-04,unknown
TX_1103,2008-04-04,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,137.08,Refeição,Vendas,137.08,2008-04-04,unknown
TX_1104,2008-04-04,Kevin Malone,Contador,Staples - Despesa de Material de Escritório,25.44,Material de Escritório,Contabilidade,25.44,2008-04-04,unknown
TX_1105,2008-04-04,Oscar Martinez,Contador,Manutenção de Copiadora - Despesa de Manutenção,61.86,Manutenção,Contabilidade,61.86,2008-04-04,unknown
TX_1106,2008-04-04,Andy Bernard,Vendedor,Estacionamento Central - Despesa de Transporte Local,92.59,Transporte Local,Vendas,92.59,2008-04-04,unknown
TX_1107,2008-04-04,Dwight Schrute,Vendedor,Gasolina Shell - Despesa de Transporte Local,153.04,Transporte Local,Vendas,153.04,2008-04-04,unknown
TX_1108,2008-04-04,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,30.36,Logística,Depósito,30.36,2008-04-04,unknown
TX_1109,2008-04-04,Stanley Hudson,Vendedor,Hertz Rent-a-Car - Despesa de Viagem,94.53,Viagem,Vendas,94.53,2008-04-04,unknown
TX_1110,2008-04-04,Kelly Kapoor,Atendimento,Staples - Despesa de Material de Escritório,34.31,Material de Escritório,Atendimento ao Cliente,34.31,2008-04-04,unknown
TX_1111,2008-04-04,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,172.13,Refeição,Vendas,172.13,2008-04-04,unknown
TX_1112,2008-04-04,Pam Beesly,Recepcionista,FedEx - Despesa de Correios,74.45,Correios,Administrativo,74.45,2008-04-04,unknown
TX_1113,2008-04-04,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,21.32,Logística,Recursos Humanos,21.32,2008-04-04,unknown
TX_1114,2008-04-04,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,87.77,Material de Escritório,Vendas,87.77,2008-04-04,unknown
TX_1115,2008-04-04,Darryl Philbin,Chefe de Depósito,Dunder Mifflin Warehouse - Despesa de Logística,39.3,Logística,Depósito,39.3,2008-04-04,unknown
TX_1116,2008-04-04,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,51.83,Manutenção,Administrativo,51.83,2008-04-04,unknown
TX_1117,2008-04-04,Toby Flenderson,RH,Manutenção de Copiadora - Despesa de Manutenção,9.45,Manutenção,Recursos Humanos,9.45,2008-04-04,unknown
TX_1118,2008-04-04,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,101.66,Refeição,Vendas,101.66,2008-04-04,unknown
TX_1119,2008-04-04,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,65.89,Logística,Contabilidade,65.89,2008-04-04,unknown
TX_1120,2008-04-04,Darryl Philbin,Chefe de Depósito,Staples - Despesa de Material de Escritório,20.6,Material de Escritório,Depósito,20.6,2008-04-04,unknown
TX_1121,2008-04-04,Toby Flenderson,RH,Dunder Mifflin Warehouse - Despesa de Logística,16.96,Logística,Recursos Humanos,16.96,2008-04-04,unknown
TX_1122,2008-04-04,Creed Bratton,Qualidade,Vending Machine - Despesa de Diversos,2.14,Diversos,Qualidade,2.14,2008-04-04,unknown
TX_1123,2008-04-04,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,32.18,Logística,Atendimento ao Cliente,32.18,2008-04-04,unknown
TX_1124,2008-04-04,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,32.74,Logística,Contabilidade,32.74,2008-04-04,unknown
TX_1125,2008-04-04,Kevin Malone,Contador,Água Crystal - Despesa de Copa e Cozinha,58.84,Copa e Cozinha,Contabilidade,58.84,2008-04-04,unknown
TX_1126,2008-04-04,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,155.95,Refeição com Cliente,Vendas,155.95,2008-04-04,unknown
TX_1127,2008-04-04,Michael Scott,Gerente Regional,Estacionamento Central - Despesa de Transporte Local,66.17,Transporte Local,Gerência,66.17,2008-04-04,unknown
TX_1128,2008-04-04,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,59.72,Manutenção,Administrativo,59.72,2008-04-04,unknown
TX_1129,2008-04-05,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,20.65,Logística,Atendimento ao Cliente,20.65,2008-04-05,unknown
TX_1130,2008-04-05,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,67.59,Logística,Contabilidade,67.59,2008-04-05,unknown
TX_1131,2008-04-05,Kelly Kapoor,Atendimento,Staples - Despesa de Material de Escritório,22.67,Material de Escritório,Atendimento ao Cliente,22.67,2008-04-05,unknown
TX_1132,2008-04-05,Meredith Palmer,Rel. Fornecedores,Água Crystal - Despesa de Copa e Cozinha,19.28,Copa e Cozinha,Suprimentos,19.28,2008-04-05,unknown
TX_1133,2008-04-05,Stanley Hudson,Vendedor,Dunkin Donuts - Despesa de Refeição,179.56,Refeição,Vendas,179.56,2008-04-05,unknown
TX_1134,2008-04-05,Pam Beesly,Recepcionista,Staples - Despesa de Material de Escritório,10.54,Material de Escritório,Administrativo,10.54,2008-04-05,unknown
TX_1135,2008-04-05,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,21.37,Logística,Qualidade,21.37,2008-04-05,unknown
TX_1136,2008-04-05,Michael Scott,Gerente Regional,Papelaria Local - Despesa de Material de Escritório,161.26,Material de Escritório,Gerência,161.26,2008-04-05,unknown
TX_1137,2008-04-05,Kelly Kapoor,Atendimento,Vending Machine - Despesa de Diversos,35.08,Diversos,Atendimento ao Cliente,35.08,2008-04-05,unknown
TX_1138,2008-04-05,Phyllis Vance,Vendedor,Papelaria Local - Despesa de Material de Escritório,73.25,Material de Escritório,Vendas,73.25,2008-04-05,unknown
TX_1139,2008-04-05,Toby Flenderson,RH,Vending Machine - Despesa de Diversos,2.17,Diversos,Recursos Humanos,2.17,2008-04-05,unknown
TX_1140,2008-04-05,Stanley Hudson,Vendedor,Gasolina Shell - Despesa de Transporte Local,33.37,Transporte Local,Vendas,33.37,2008-04-05,unknown
TX_1141,2008-04-05,Pam Beesly,Recepcionista,Staples - Despesa de Material de Escritório,77.75,Material de Escritório,Administrativo,77.75,2008-04-05,unknown
TX_1142,2008-04-05,Michael Scott,Gerente Regional,Amtrak Train - Despesa de Viagem,170.64,Viagem,Gerência,170.64,2008-04-05,unknown
TX_1143,2008-04-05,Michael Scott,Gerente Regional,Best Western Hotel - Despesa de Viagem,290.81,Viagem,Gerência,290.81,2008-04-05,unknown
TX_1144,2008-04-05,Toby Flenderson,RH,FedEx - Despesa de Correios,3.78,Correios,Recursos Humanos,3.78,2008-04-05,unknown
TX_1145,2008-04-05,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,179.2,Refeição com Cliente,Vendas,179.2,2008-04-05,unknown
TX_1146,2008-04-05,Dwight Schrute,Vendedor,Chili's - Despesa de Refeição com Cliente,125.05,Refeição com Cliente,Vendas,125.05,2008-04-05,unknown
TX_1147,2008-04-05,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,15.55,Manutenção,Administrativo,15.55,2008-04-05,unknown
TX_1148,2008-04-05,Meredith Palmer,Rel. Fornecedores,Manutenção de Copiadora - Despesa de Manutenção,24.23,Manutenção,Suprimentos,24.23,2008-04-05,unknown
TX_1149,2008-04-05,Pam Beesly,Recepcionista,Dunder Mifflin Warehouse - Despesa de Logística,40.02,Logística,Administrativo,40.02,2008-04-05,unknown
TX_1150,2008-04-05,Toby Flenderson,RH,FedEx - Despesa de Correios,18.86,Correios,Recursos Humanos,18.86,2008-04-05,unknown
TX_1151,2008-04-05,Dwight Schrute,Vendedor,Dunkin Donuts - Despesa de Refeição,167.69,Refeição,Vendas,167.69,2008-04-05,unknown
TX_1152,2008-04-05,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,33.17,Manutenção,Contabilidade,33.17,2008-04-05,unknown
TX_1153,2008-04-05,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,25.01,Manutenção,Contabilidade,25.01,2008-04-05,unknown
TX_1154,2008-04-05,Andy Bernard,Vendedor,Papelaria Local - Despesa de Material de Escritório,157.46,Material de Escritório,Vendas,157.46,2008-04-05,unknown
TX_1155,2008-04-05,Phyllis Vance,Vendedor,Chili's - Despesa de Refeição com Cliente,102.65,Refeição com Cliente,Vendas,102.65,2008-04-05,unknown
TX_1156,2008-04-05,Creed Bratton,Qualidade,Dunder Mifflin Warehouse - Despesa de Logística,20.14,Logística,Qualidade,20.14,2008-04-05,unknown
TX_1157,2008-04-05,Stanley Hudson,Vendedor,Cugino's - Despesa de Refeição com Cliente,143.33,Refeição com Cliente,Vendas,143.33,2008-04-05,unknown
TX_1158,2008-04-05,Stanley Hudson,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,150.02,Refeição com Cliente,Vendas,150.02,2008-04-05,unknown
TX_1159,2008-04-05,Kevin Malone,Contador,Dunder Mifflin Warehouse - Despesa de Logística,29.05,Logística,Contabilidade,29.05,2008-04-05,unknown
TX_1160,2008-04-05,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,55.28,Logística,Contabilidade,55.28,2008-04-05,unknown
TX_1161,2008-04-05,Meredith Palmer,Rel. Fornecedores,Vending Machine - Despesa de Diversos,27.5,Diversos,Suprimentos,27.5,2008-04-05,unknown
TX_1162,2008-04-05,Kelly Kapoor,Atendimento,Manutenção de Copiadora - Despesa de Manutenção,14.18,Manutenção,Atendimento ao Cliente,14.18,2008-04-05,unknown
TX_1163,2008-04-06,Angela Martin,Contadora,Dunder Mifflin Warehouse - Despesa de Logística,33.68,Logística,Contabilidade,33.68,2008-04-06,unknown
TX_1164,2008-04-06,Angela Martin,Contadora,Manutenção de Copiadora - Despesa de Manutenção,18.26,Manutenção,Contabilidade,18.26,2008-04-06,unknown
TX_1165,2008-04-06,Pam Beesly,Recepcionista,Água Crystal - Despesa de Copa e Cozinha,44.84,Copa e Cozinha,Administrativo,44.84,2008-04-06,unknown
TX_1166,2008-04-06,Kelly Kapoor,Atendimento,Dunder Mifflin Warehouse - Despesa de Logística,32.9,Logística,Atendimento ao Cliente,32.9,2008-04-06,unknown
TX_1167,2008-04-06,Michael Scott,Gerente Regional,Gasolina Shell - Despesa de Transporte Local,264.03,Transporte Local,Gerência,264.03,2008-04-06,unknown
TX_1168,2008-04-06,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,43.49,Refeição com Cliente,Vendas,43.49,2008-04-06,unknown
TX_1169,2008-04-06,Pam Beesly,Recepcionista,Manutenção de Copiadora - Despesa de Manutenção,12.53,Manutenção,Administrativo,12.53,2008-04-06,unknown
TX_1170,2008-04-06,Kelly Kapoor,Atendimento,FedEx - Despesa de Correios,39.96,Correios,Atendimento ao Cliente,39.96,2008-04-06,unknown
TX_1171,2008-04-06,Oscar Martinez,Contador,Dunder Mifflin Warehouse - Despesa de Logística,45.97,Logística,Contabilidade,45.97,2008-04-06,unknown
TX_1172,2008-04-06,Phyllis Vance,Vendedor,Cooper's Seafood - Despesa de Refeição com Cliente,172.75,Refeição com Cliente,Vendas,172.75,2008-04-06,unknown
